itemCollection_SLDF_lvl-6,,,
itemCollection_SLDF_MechPart_lvl-2,Reference,24,1
itemCollection_SLDF_Equipment_lvl-2,Reference,15,1
itemCollection_SLDF_Mech_lvl-2,Reference,14,1
itemCollection_SLDF_Weapons_lvl-2,Reference,48,1
itemCollection_SLDF_MechPart_lvl-1,Reference,8,1
itemCollection_SLDF_Equipment_lvl-1,Reference,25,1
itemCollection_SLDF_Mech_lvl-1,Reference,10,1
itemCollection_SLDF_Weapons_lvl-1,Reference,162,1
itemCollection_SLDF_MechPart_lvl-4,Reference,3,1
itemCollection_SLDF_Mech_lvl-4,Reference,3,1
itemCollection_SLDF_Weapons_lvl-4,Reference,6,1
itemCollection_SLDF_MechPart_lvl-5,Reference,4,1
itemCollection_SLDF_Equipment_lvl-5,Reference,10,1
itemCollection_SLDF_Mech_lvl-5,Reference,1,1
itemCollection_SLDF_Weapons_lvl-5,Reference,10,1
