itemCollection_SLDF_Weapons_lvl-4,,,
itemCollection_Weapons_SLDF_uncommon,Reference,1,1
itemCollection_shopItems_starleague,Reference,3,1
itemCollection_shopItems_research,Reference,3,1
Weapon_Laser_MediumLaserER_0-STOCK,Weapon,1,1
Weapon_Autocannon_UAC2_2-Imperator,Weapon,0,10
Weapon_Autocannon_UAC5_2-Mydron,Weapon,4,10
Weapon_Autocannon_UAC10_2-Federated,Weapon,4,10
Weapon_Autocannon_UAC20_2-Kali_Yama,Weapon,4,10
Weapon_PPC_PPCSnub_2-Ceres_Arms,Weapon,4,10
Weapon_PPC_PPCSnub_2-Donal,Weapon,4,10
Weapon_PPC_PPCSnub_2-Magna,Weapon,4,10
Weapon_Narc_Standard_2-Kali_Yama,Weapon,4,10
Weapon_Autocannon_LB2X_2-Defiance,Weapon,4,10
Weapon_Autocannon_LB5X_2-GM,Weapon,4,10
Weapon_Autocannon_LB10X_2-Western,Weapon,4,10
Weapon_Autocannon_LB20X_2-Shengli_Arms,Weapon,4,10
