itemCollection_SLDF_Mechs_lvl-5,,,
mechdef_blackknight_BL-6-KNT,Mech,1,6
mechdef_zeus_ZEU-6S,Mech,1,4
mechdef_highlander_HGN-732b,Mech,1,4
mechdef_kingcrab_KGC-0000,Mech,1,4
mechdef_raven_RVN-1X,Mech,1,2
mechdef_hatchetman_HCT-3F,Mech,1,2
mechdef_crab_CRB-27,Mech,1,2
mechdef_crab_CRB-27b,Mech,1,2
mechdef_phoenixhawk_PXH-1b,Mech,1,2
mechdef_griffin_GRF-4N,Mech,1,2
mechdef_blackknight_BL-6b-KNT,Mech,1,2
mechdef_warhammer_WHM-7A,Mech,1,2
mechdef_marauder_MAD-2R,Mech,1,2
mechdef_victor_VTR-9B,Mech,1,2
mechdef_victor_VTR-9S,Mech,1,2
mechdef_zeus_ZEU-5T,Mech,1,2
mechdef_battlemaster_BLR-1G,Mech,1,2
mechdef_battlemaster_BLR-1GB,Mech,1,2
mechdef_cyclops_CP-10-Q,Mech,1,2
mechdef_cyclops_CP-10-Z,Mech,1,2
mechdef_highlander_HGN-733,Mech,1,2
mechdef_highlander_HGN-733P,Mech,1,2
mechdef_atlas_AS7-D-HT,Mech,1,2
mechdef_catapult_CPLT-K2,Mech,1,1
mechdef_kintaro_KTO-18,Mech,1,1
mechdef_catapult_CPLT-C1,Mech,1,1
mechdef_cataphract_CTF-1X,Mech,1,1
mechdef_blackknight_BL-6-KNT,Mech,1,1
