itemCollection_SLDF_lvl-6,,,
itemCollection_SLDF_MechPart_lvl-2,Reference,24,1
itemCollection_SLDF_Equipment_lvl-2,Reference,15,1
itemCollection_SLDF_Mech_lvl-2,Reference,14,1
itemCollection_SLDF_Weapons_lvl-2,Reference,48,1
itemCollection_SLDF_MechPart_lvl-1,Reference,8,1
itemCollection_SLDF_Equipment_lvl-1,Reference,25,1
itemCollection_SLDF_Mech_lvl-1,Reference,10,1
itemCollection_SLDF_Weapons_lvl-1,Reference,162,1
itemCollection_SLDF_MechPart_lvl-4,Reference,3,1
itemCollection_SLDF_Mech_lvl-4,Reference,3,1
itemCollection_SLDF_Weapons_lvl-4,Reference,6,1
itemCollection_SLDF_MechPart_lvl-5,Reference,4,1
itemCollection_SLDF_Equipment_lvl-5,Reference,10,1
itemCollection_SLDF_Mech_lvl-5,Reference,1,1
itemCollection_SLDF_Weapons_lvl-5,Reference,10,1
Ammo_AmmunitionBox_Generic_LB2X,AmmunitionBox,0,10
Ammo_AmmunitionBox_Generic_LB5X,AmmunitionBox,0,10
Ammo_AmmunitionBox_Generic_LB10X,AmmunitionBox,0,10
Ammo_AmmunitionBox_Generic_LB20X,AmmunitionBox,0,10
Ammo_AmmunitionBox_Generic_Narc,AmmunitionBox,0,10
Ammo_AmmunitionBox_Generic_SRMInferno,AmmunitionBox,0,10
Weapon_Gauss_Gauss_1-M7,Weapon,2,10
Weapon_Gauss_Gauss_0-STOCK,Weapon,0,1
