itemCollection_SLDF_MechPart_lvl-5,,,
mechdef_blackknight_BL-6-KNT,MechPart,1,6
mechdef_zeus_ZEU-6S,MechPart,1,4
mechdef_highlander_HGN-732b,MechPart,1,4
mechdef_kingcrab_KGC-0000,MechPart,1,4
mechdef_raven_RVN-1X,MechPart,1,2
mechdef_hatchetman_HCT-3F,MechPart,1,2
mechdef_crab_CRB-27,MechPart,1,2
mechdef_crab_CRB-27b,MechPart,1,2
mechdef_phoenixhawk_PXH-1b,MechPart,1,2
mechdef_griffin_GRF-4N,MechPart,1,2
mechdef_blackknight_BL-6b-KNT,MechPart,1,2
mechdef_warhammer_WHM-7A,MechPart,1,2
mechdef_marauder_MAD-2R,MechPart,1,2
mechdef_victor_VTR-9B,MechPart,1,2
mechdef_victor_VTR-9S,MechPart,1,2
mechdef_zeus_ZEU-5T,MechPart,1,2
mechdef_battlemaster_BLR-1G,MechPart,1,2
mechdef_battlemaster_BLR-1GB,MechPart,1,2
mechdef_cyclops_CP-10-Q,MechPart,1,2
mechdef_cyclops_CP-10-Z,MechPart,1,2
mechdef_highlander_HGN-733,MechPart,1,2
mechdef_highlander_HGN-733P,MechPart,1,2
mechdef_atlas_AS7-D-HT,MechPart,1,2
mechdef_catapult_CPLT-K2,MechPart,1,1
mechdef_kintaro_KTO-18,MechPart,1,1
mechdef_catapult_CPLT-C1,MechPart,1,1
mechdef_cataphract_CTF-1X,MechPart,1,1
mechdef_blackknight_BL-6-KNT,MechPart,1,1
